config,layer,heat_epi,heat_ale,total_epi,total_ale,total_std,jacobian_diag
lowrank_propagated,2,0.008441820515319704,4.0079572616377844e-05,0.022215475823730232,0.4129176750779152,0.41365509963035585,0.9991911854743958
lowrank_propagated,3,0.007337403511628509,4.00019379958394e-05,0.022118751460686325,0.40829880023002624,0.40906255626678467,0.9990983852148057
lowrank_propagated,4,0.00684192069992423,4.0154681912099475e-05,0.019341378120705487,0.40375197285413744,0.40431938952207563,0.9990544590950012
lowrank_propagated,5,0.006772716396488249,4.0215131200966426e-05,0.01751641400717199,0.39955892926454545,0.40001883149147033,0.9990168775320053
lowrank_propagated,6,0.013028656946495175,4.1396641150640786e-05,0.022380623893812297,0.40352028292417524,0.4045444185137749,0.9990568072795868
lowrank_propagated,7,0.012796023834496736,4.2022566674859264e-05,0.02200254524499178,0.40340831834077834,0.40442037165164946,0.999096366405487
lowrank_propagated,8,0.013252593634650112,4.223992909101071e-05,0.02373871276527643,0.4037579998970032,0.4048528220653534,0.9990110086202622
lowrank_propagated,9,0.014295615791343152,4.4235066343389914e-05,0.024700956307351588,0.40474098521471025,0.4059344878792763,0.9990388414859772
lowrank_propagated,10,0.012565073838457464,4.9045818974263964e-05,0.021071231545880437,0.4056044601202011,0.40645786333084105,0.9990793485641479
lowrank_propagated,11,0.01203073759470135,6.190282078750897e-05,0.01987317250482738,0.4050751348733902,0.4058930505514145,0.9990348170995712
lowrank_propagated,12,0.01173602216038853,6.446086938376538e-05,0.019558403143659232,0.40512249106168746,0.4058932960033417,0.9991518695354462
